,idx,zh,en,mutated
0,0,她带来阿奇的一些婴儿衣服，包括一件印着“未来”的衣服和他不再合身印有“不可战胜”字样的婴儿连体服，还有她同样是母亲的朋友捐赠的物品。,"She brought some baby clothes for Archie, including an outfit with ""Future"" printed on it and a no-longer-fitting baby jumpsuit with the inscription ""Unconquerable,"" along with items donated by her friend, also a mother.","She brings some baby clothes for Archie, including an outfit with ""Future"" printed on it and a no-longer-fit baby jumpsuit with the inscription ""Unconquerable,"" along with items donating by her friend, also a mother."
1,1,与此同时，保守党议员兼商务大臣纳丁·扎哈维表示：“你这样利用乔·考克斯真是大错特错，因为她的家人已明确要求不要这样做。请远离政治。,"Meanwhile, Conservative MP and Secretary of State for Business Nadine Zahawi expressed, ""Utilizing Jo Cox in this manner is entirely inappropriate, as her family has explicitly requested not to do so. Please stay away from politics.""","Meanwhile, Conservative MPs and Secretary of State for Business Nadine Zahawi expresses, ""Utilize Jo Cox in this manners is entirely inappropriates, as her family have explicitly requested not do so. Please stays away from politics."""
2,2,锁匠被捕，主要监狱安全漏洞令人堪忧。,"The locksmith has been arrested, and the significant security vulnerabilities in the main prison are concerning.","The locksmith have been arrested, and the significant security vulnerabilities in the main prison is concerning."
3,3,世界卫生组织国际癌症研究机构 2015 年的一项研究发现，基于“有限”人类致癌证据和“充分”动物致癌实验证据，草甘膦“可能对人类致癌”。但是，由世卫组织和联合国粮农组织组成的一个联合小组随后认定，草甘膦通过饮食令人致癌的风险较小。,"A 2015 study by the World Health Organization's International Agency for Research on Cancer found that based on ""limited"" human carcinogenic evidence and ""sufficient"" animal carcinogenic evidence, glyphosate ""may be carcinogenic to humans."" However, a subsequent joint panel composed of the WHO and the Food and Agriculture Organization of the United Nations concluded that the risk of glyphosate causing cancer through diet is relatively low.","A 2015 study by the World Health Organization's International Agency for Research on Cancer found that based on ""limited"" human carcinogenic evidence and ""sufficient"" animal carcinogenic evidence, glyphosate ""may was carcinogenic to humans."" However, a subsequent joint panel composed of the WHO and the Food and Agriculture Organization of the United Nations concluded that the risk of glyphosate causing cancer through diet are relatively low."
4,4,美国最大的独立院线禁止观众乔装打扮的观众观看广受好评的《小丑》- 讲述《蝙蝠侠》电影中超级反派身世的的故事。虽然影院已经禁止了观众戴面具或彩绘人脸，但安全方面的担忧仍然存在。,"The largest independent cinema chain in the United States prohibits audiences disguised as clowns from watching the highly acclaimed ""Joker,"" a story delving into the origins of a super-villain from Batman movies. Although theaters have banned audiences from wearing masks or face paint, concerns about safety persist.","The largest independent cinema chain in the United States prohibit audiences disguised as clown from watch the highly acclaimed ""Joker,"" a story delve into the origins of a super-villain from Batman movies. Although theaters have ban audience from wear masks or face paint, concern about safety persist."
5,5,延长季风季给印度许多地区带来洪水和混乱。,The extended monsoon season brings floods and chaos to many regions of India.,The extended monsoon season bring flood and chaos to many region of India.
6,6,他在推特上说：“听起来越来越像所谓的告密者，其实根本不是告密者。”“此外，所有二手信息都被证明是不准确的，可能根本没有其他人、泄密者或间谍向他或她提供这些信息？”一个党派侦探？”,"He tweeted, ""It sounds more and more like a so-called whistleblower, when in reality, it's not a whistleblower at all."" ""Furthermore, all second-hand information has been proven inaccurate, and there might not be anyone else, leaker, or spy providing this information? A partisan detective?""","He tweet, ""It sound more and more like a so-called whistleblowers, when in reality, it's not whistleblower at all."" ""Furthermore, all second-hand informations have been proven inaccurate, and there might not be anyone elses, leaker, or spies providing this informations? A partisan detectives?"""
7,7,但是先别着急下定论，过犹不及，摄入太多也有害身体。在这种情况下，如果人体摄入太多肉桂，会有一些副作用。我们应确保安全。,"But let's not jump to conclusions hastily; excess is detrimental, and too much intake can be harmful to the body. In this case, if the body consumes an excessive amount of cinnamon, there may be some side effects. We should ensure safety.","But let's not jumps to conclusions hastily; excess is detrimentals, and too many intake can be harmful to the body. In this cases, if the body consume an excessively amount of cinnamon, theres may be some side effects. We should ensures safety."
8,8,据说到 2030 年，沙特的目标是吸引国内外游客每年多达 1 亿人次。,"It is said that by the year 2030, Saudi Arabia aims to attract up to 1 billion domestic and international tourists annually.","It is say that by the year 2030, Saudi Arabia aim to attract up to 1 billion domestic and international tourists annual."
9,9,今日起，澳大利亚的脸书用户无法再看到别人发布的动态的反应数量和视频浏览量，但仍能看到别人对自己动态的反应。,"Starting today, Facebook users in Australia can no longer see the number of reactions and video views on others' posts, but they can still see reactions to their own posts.","Starting today, Facebook users in Australia can no long see the number of reactions and video views on others' post, but they can still sees reactions to their own post."
10,10,研究。研究表明，通过 OraQuick 艾滋病毒自检试剂盒进行检测的艾滋病毒感染者和非感染者，检测结果的准确率超过 99%。,Research. Studies indicate that the accuracy of HIV testing results using the OraQuick HIV self-test kit is over 99% for both HIV-positive and HIV-negative individuals.,Research. Studies indicates that the accuracy of HIV testing results using the OraQuick HIV self-test kit are over 99% for both HIV-positive and HIV-negative individuals.
11,11,巴西石油监管机构 - 巴西国家石油管理局局长德西奥·奥多内指出，该机构认为，可能是一艘远离巴西海岸的油轮泄露了石油，但又补充道，这种可能性尚未得到证实。该管理局的一份声明表示，没有收到国内任何石油钻井平台发生泄漏的报告。,"The Brazilian petroleum regulatory agency - National Petroleum Agency Director Décio Oddone pointed out that the agency believes a tanker far from the Brazilian coast may have leaked oil, but he added that this possibility has not been confirmed yet. A statement from the agency mentioned that there have been no reports of leaks from any domestic oil drilling platforms.","The Brazilian petroleum regulatory agency - National Petroleum Agency Director Décio Oddone points out that the agency believe a tanker far from the Brazilian coast may have leaked oil, but he adds that this possibility has not been confirmed yet. A statement from the agency mentions that there have been no report of leaks from any domestic oil drilling platforms."
12,12,他说：“如果情况许可，他将被高等法院宣判无罪，”。,"He said, ""If circumstances allow, he will be acquitted by the higher court.""","He say, ""If circumstances allow, he will be acquitted by the higher courts."""
13,13,问题层出不穷，法国化工厂大火被扑灭。,"Problems are emerging one after another, and the fire at the French chemical plant has been extinguished.","Problems is emerging one after another, and the fire at the French chemical plant have been extinguished."
14,14,特朗普后来对伊朗作出回应，“当然不会！”他表示伊朗希望他能取消制裁，以便举行会议。,"Later, Trump responded to Iran, ""Of course not!"" He stated that Iran wishes for him to lift sanctions for a meeting to take place.","Later, Trump respond to Iran, ""Of course not!"" He state that Iran wish for him to lift sanctions for a meeting to takes place."
15,15,佩洛西在星期四上午的新闻发布会上说道，绝大部分民主党人同意这一策略，即“告密者控告”是“当下的重点”。,"Pelosi, during Thursday morning's press conference, mentioned that the majority of Democrats agree with the strategy, namely, that ""whistleblower accusations"" are the current focus.","Pelosi, during Thursday morning's press conference, mentioned that the majority of Democrats agrees with the strategy, namely, that ""whistleblower accusations"" is the current focus."
16,16,铃木瑟玟疾呼的环境问题反映的是 20 世纪 90 年代初的世界，当时的生态问题聚焦在滥砍滥伐、臭氧层消耗和物种灭绝方面。但在实施了若干年的干预措施后，人类相当成功地解决了这些问题。得益于具有里程碑意义的化学品禁令，臭氧消耗速度显著减缓，而全球森林覆盖面积也大大增加，增加的面积相当于德克萨斯和阿拉斯加两个州面积的总和。,"Suzuki Semen's urgent call for environmental issues reflects the early 1990s world when ecological problems centered around deforestation, ozone layer depletion, and species extinction. However, after implementing several years of intervention measures, humanity has been quite successful in addressing these issues. Thanks to milestone chemical bans, ozone depletion has significantly slowed, and global forest coverage has greatly increased, equivalent to the combined area of Texas and Alaska.","Suzuki Semen's urgent call for environmental issues reflect the early 1990s world when ecological problems centered around deforestations, ozone layer depletion, and species extinctions. However, after implementing several years of intervention measures, humanity have been quite successful in addressing these issues. Thanks to milestone chemical bans, ozone depletions have significantly slowed, and global forests coverage has greatly increased, equivalent to the combined area of Texas and Alaska."
17,17,德雷克告诉他，如果他想追回科勒，就必须全力以赴。,"Drake told him that if he wants to win back Coler, he must go all out.","Drake told him that if he want to win back Coler, he must goes all out."
18,18,米纳西安称自己为“incel”，这个词是“非自愿独身者”的缩写。 非自愿独身运动是一种网上亚文化群，与多伦多的致命袭击以及加利福尼亚和佛罗里达的袭击有关。这个群体提倡厌恶女性的观念，即男性有权与女性发生性关系。,"Minaśian refers to himself as an ""incel,"" an abbreviation for ""involuntary celibate."" The involuntary celibate movement is an online subculture linked to fatal attacks in Toronto and California and Florida. This group advocates a disdainful view of women, asserting that men have the right to engage in sexual relations with women.","Minaśian refer to themself as an ""incel,"" an abbreviation for ""involuntary celibate."" The involuntary celibate movement are an online subculture linked to fatal attacks in Toronto and California's and Florida's. This group advocate a disdainful view of women, assert that men have the right to engage in sexual relations with women."
19,19,波士顿（路透社）——在美国股市首秀的公司反响平平，尤其是当它们正在亏损时，这给在今年余下时间的首次公开发行的日历上蒙上了阴影。,"Boston (Reuters) - Companies making their debut in the U.S. stock market received a lukewarm response, especially when they were incurring losses. This has cast a shadow on the calendar for initial public offerings remaining this year.","Boston (Reuters) - Companies making its debut in the U.S. stock market received a lukewarm response, especially when it was incurring losses. This have casted a shadow on the calendar for initial public offerings remaining this year."
20,20,据当地报道，8 月，在瑞士洛桑，数百名气候罢工组织者聚集在一起，为本周的活动做准备，数千人在该市游行。,"According to local reports, in August, in Lausanne, Switzerland, hundreds of climate strike organizers gathered to prepare for this week's events, with thousands marching in the city.","According to local reports, in August, in Lausanne, Switzerland, hundreds of climate strike organizers gather to prepares for this week's events, with thousands march in the city."
21,21,时值甘地诞辰 150 周年，如果特朗普和莫迪能牢记甘地的忠告，他们在任期的表现应该会非常更好。,"On the occasion of the 150th anniversary of Gandhi's birth, if Trump and Modi could remember Gandhi's advice, their performances during their terms should be much better.","On the occasion of the 150th anniversary of Gandhi's birth, if Trump and Modi remembers Gandhi's advice, their performances during their terms be much better."
22,22,据美国国家大气和海洋研究机构的太空天气预报中心称，预计 9 月 27 日至 9 月 29 日将发生地磁扰动。高速太阳风可能导致中等地磁风暴 (G2)。,"According to the U.S. National Atmospheric and Oceanic Administration's Space Weather Prediction Center, geomagnetic disturbances are expected from September 27 to September 29. High-speed solar winds may lead to a moderate geomagnetic storm (G2).","Accord to the U.S. National Atmospheric and Oceanic Administration's Space Weather Prediction Center, geomagnetic disturbances is expecting from September 27 to September 29. High-speed solar winds may leads to a moderate geomagnetic storm (G2)."
23,23,“作为创始人，我们很多人都创造了令人惊叹的成绩，但与一位王室成员会面有些令人生畏。她很随和。她是一位随和的王室成员。”,"As founders, many of us have achieved remarkable feats, but meeting a royal member is somewhat awe-inspiring. She is amiable, a congenial member of the royal family.","As founder, many of us has achieved remarkable feats, but meeting a royal members are somewhat awe-inspiring. She amiable, a congenial members of the royal family."
24,24,“你们用你们的空话偷走了我的梦想和童年，”她在星期二说道。“子孙后代的眼睛都盯着你们，如果你们的选择让我们失望，我可以说我们永远不会原谅你们”。,"You, with your empty words, have stolen my dreams and childhood, she said on Tuesday. ""The eyes of future generations are watching you. If your choices disappoint us, I can say we will never forgive you.""","You, with your empty words, has stolen my dreams and childhood, she says on Tuesday. ""The eyes of future generations is watching you. If your choices disappoint us, I can says we will never forgive you."""
25,25,据新闻稿称，艾米·帕斯卡也将通过帕斯卡影业制作影片，就像她在执导霍兰德主演的前两部电影中一样。,"According to a press release, Amy Pascal will also produce films through Pascal Pictures, just as she did in the previous two movies starring Holland.","According to a press release, Amy Pascal will also producing films through Pascal Pictures, just as she done in the previous two movies starring Holland."
26,26,加州大学旧金山分校的一位社会心理学家安东尼娅·比格斯被问及这项研究时，同意某些女性会改变想堕胎的想法或她们一开始就拿不定主意。但她指出，该研究没有证明是犹他州的强制等待期让女性改变了主意，也没有发现它在其他方面对女性有利。,"A social psychologist, Antonia Biggs, from the University of California, San Francisco, when asked about this study, agreed that some women might change their thoughts about abortion or might be undecided initially. However, she pointed out that the study did not prove that Utah's mandatory waiting period caused women to change their minds, nor did it find it advantageous for women in other aspects.","A social psychologist, Antonia Biggs, from the University of California, San Francisco, when asked about this study, agrees that some women might changes their thoughts about abortion or might be undecided initially. However, she points out that the study does not prove that Utah's mandatory waiting period caused women to change their minds, nor does it find it advantageous for women in other aspects."
27,27,新数据显示，收入差距最严重的地区往往是财富集聚的地区，包括华盛顿特区、纽约州和康涅狄格州，当然还有些一贫如洗的地区，像波多黎各和美国路易斯安那州。而在犹他州、阿拉斯加州、爱荷华州、北达科他州和南达科他州，这五个州的经济平等程度最高。,"New data reveals that the regions with the most severe income disparities are often those where wealth is concentrated, including Washington D.C., New York, and Connecticut. Of course, there are also some impoverished areas, such as Puerto Rico and Louisiana. Meanwhile, Utah, Alaska, Iowa, North Dakota, and South Dakota boast the highest levels of economic equality among these five states.","New data reveal that the regions with the most severe income disparities is often those where wealth are concentrated, including Washington D.C., New York, and Connecticut. Of course, there is also some impoverished areas, such as Puerto Rico and Louisiana. Meanwhile, Utah, Alaska, Iowa, North Dakota, and South Dakota boast the highest level of economic equality among these five states."
28,28,然后，他分享了一篇更长的帖文，描绘了两人手挽手的情景，敦促他的追随者勇敢面对参议院多数党领袖米奇·麦康奈尔（肯塔基州共和党人），并向共和党参议员施压，将《平权法案》提交参议院表决：,"Then, he shared a longer post, depicting a scene where the two walked hand in hand, urging his followers to bravely face Senate Majority Leader Mitch McConnell (Republican from Kentucky) and press Republican senators to bring the Equality Act to a vote in the Senate.","Then, he shared a longer post, depicted a scene where the two walked hand in hand, urge his followers bravely faces Senate Majority Leader Mitch McConnell (Republican from Kentucky) and pressing Republican senators bring the Equality Act to a vote in the Senate."
29,29,摇滚传奇乐队“何许人”正在美国巡演。德克萨斯州休斯顿，罗杰·达尔特雷被迫在演唱会进行到一半时取消了演出。这位 75 岁的歌手面对失望的观众说道：“我觉得最好是见好就收。” 乐队已经演唱了八首歌，但答应将来有一天再回来演出。观众通过看视频，回顾乐队如何在舞台崭露头角的发展历程。,"The legendary rock band ""Who Are They"" is currently on a tour in the United States. In Houston, Texas, Roger Daltrey was forced to cancel the performance midway through the concert. The 75-year-old singer, facing disappointed fans, said, ""I think it's best to call it quits."" The band had performed eight songs, but promised to return for another show in the future. Fans can reminisce about the band's rise to fame through videos.","The legendary rock band ""Who Are They"" are currently on a tour in the United States. In Houston, Texas, Roger Daltrey were forced to cancel the performance midway through the concert. The 75-year-old singer, facing disappointed fans, say, ""I thinks it's best to call it quits."" The band has performed eight songs, but promised to returned for another show in the future. Fans can reminisce about the band's rise to fame through video."
30,30,去年，基迪亚“娱乐城”在利雅得附近动工建设，将包括高端主题公园、汽车运动设施和一个狩猎区。,"Last year, Kadia's ""Entertainment City"" began construction near Riyadh, featuring a high-end theme park, automotive facilities, and a hunting area.","Last year, Kadia's ""Entertainment City"" begins constructions near Riyadh, featuring a high-end theme park, automotive facility, and a hunting area."
31,31,塔西先生说道，相关研究表明没有发生自杀事件，而且卫生部有信心避免这种可能发生的悲剧，因为检测属于自愿行为。,"Mr. Tasi mentioned that relevant studies indicate no suicide incidents have occurred, and the health department is confident in preventing this potential tragedy as the testing is voluntary.","Mr. Tasi mention that relevant studies indicates no suicide incidents have occurred, and the health department are confident in prevent this potential tragedy as the testing are voluntary."
32,32,8 月 8 日，沃伦在爱荷华州的一次竞选巴士旅行中，在一个柠檬水摊前停下，摊位上有两个 11 岁的孩子：西耶娜·米歇尔斯和奥黛丽·比林斯。,"On August 8th, during an election bus tour in Iowa, Warren stopped at a lemonade stand with two 11-year-old children: Siena Michels and Audrey Billings.","On August 8th, during an election bus tour in Iowa, Warren stop at a lemonade stand with two 11-year-old children: Siena Michels and Audrey Billings."
33,33,由于担心遭到报复，许多选民（尤其是农村地区的选民）将留在家里，而另一些人则表示，投票选举的制度是给有权势的人准备的，不适合穷人。,"Due to fear of retaliation, many voters (especially in rural areas) will stay home, while others express that the electoral system is designed for those in power and not suitable for the poor.","Due to fear of retaliating, many voter (especially in rural areas) will stay homes, while others express that the electoral system are designed for those in power and not suitable for the poor."
34,34,对首次公开募股更加挑剔的市场周五继续惩罚 Peloton Interactive Inc (PTON.O)，这是它开始交易的第二天，这家健身公司的股价下跌至 24.74 美元，跌幅为 4%。该公司目前的股价较周三的首次公开募股价格下跌了 15%。,"The market, which is more critical of initial public offerings, continued to penalize Peloton Interactive Inc (PTON.O) on Friday, its second day of trading. The fitness company's stock fell to $24.74, a 4% decrease. The current price is 15% lower than Wednesday's IPO price.","The market, which are more critical of initial public offerings, continuing to penalizes Peloton Interactive Inc (PTON.O) on Fridays, its second day of trading. The fitness company's stock falls to $24.74, a 4% decreases. The current prices are 15% lower than Wednesday's IPO prices."
35,35,“我不得不穿一套肥大的西装，”戴维斯对主持人吉米·坎摩尔说，“我喜欢这套西装。我告诉他们我想要非常非常大的[咒骂语]。我想看起来成熟一些。”,"I had to wear an oversized suit, Davis told host Jimmy Kimmel. ""I like this suit. I told them I want it very, very big [expletive]. I want to look more mature.""","I had to wears an oversized suit, Davis tells host Jimmy Kimmel. ""I likes this suit. I tells them I wants it very, very big [expletive]. I wants to looks more mature."""
36,36,谈判代表还表示“时间不多了”，“英国首相和他的团队有责任”拿出一份认真的提议。,"Negotiators also stated, ""Time is running out,"" and ""the British Prime Minister and his team have a responsibility"" to present a serious proposal.","Negotiators also state, ""Time are running out,"" and ""the British Prime Minister and his team has a responsibility"" to presents a serious proposals."
37,37,燃烧罗波那肖像象征着邪不胜正。但这些肖像是纸做的，如果季风持续，罗波那可能会笑到最后。,"Burning the Robespierre portrait symbolizes the triumph of good over evil. However, these portraits are made of paper, and if the monsoon persists, Robespierre might have the last laugh.","Burns the Robespierre portrait symbolize the triumph of goodness over evils. However, these portraits is made of paper, and if the monsoons persist, Robespierre might has the last laugh."
38,38,早些时候，巴洛赫的母亲安瓦尔·迈告诉 AFP，她曾希望儿子能被无罪释放。,"Earlier, Baloch's mother Anwar Mai told AFP that she had hoped her son would be acquitted.","Earlier, Baloch's mother Anwar Mai tells AFP that she hopes her son would be acquitted."
39,39,教皇方济各星期五向科技公司高管、外交官和金融家发出警告，创建人工智能和进行其他形式的数字发展竞赛增加了社会不平等的风险，除非这项工作设有对公共利益的伦理评估。,"Pope Francis issued a warning on Fridays to tech executives, diplomats, and financiers, stating that creating artificial intelligence and engaging in other forms of digital development competitions increases the risk of social inequality unless this work has ethical assessments for the public interest.","Pope Francis issued a warning on Fridays to tech executive, diplomats, and financiers, stating that create artificial intelligence and engage in other forms of digital development competitions increase the risk of social inequality unless this work has ethical assessments for the public interest."
40,40,自最高法院作出暂停大选不合法的裁定以来，这是议会第二次召开会议。,"Since the Supreme Court ruled the suspension of the election as illegal, this is the parliament's second convening.","Since the Supreme Court ruled the suspension of the election as illegal, this am the parliament's second convening."
41,41,获得表彰的五名学生分别是：尼古拉斯·加拉格尔和詹姆斯·奥斯本（均为生命科学专业学生）、费伦茨·小介石川·具体（医学专业）、凯特琳·斯科特（解剖科学）和瓦科·横山（哲学）。,"The five students who received recognition are Nicholas Gallagher and James Osborne (both life science majors), Ferenz Shokai Ishikawa (medical major), Kaitlin Scott (anatomy science), and Wako Yokoyama (philosophy).","The five students who received recognition is Nicholas Gallagher and James Osborne (both life science majors), Ferenz Shokai Ishikawa (medical major), Kaitlin Scott (anatomy sciences), and Wako Yokoyama (philosophy)."
42,42,苏格兰政府已发起一场咨询以征求公众意见。,The Scottish government has initiated a consultation to seek public opinions.,The Scottish government have initiated a consultation to seek public opinions.
43,43,本月早些时候，海军报道了在乔治·H·W·布什号航空母舰服役的三名机组人员在一周之内先后结束了自己的生命。这突显了在确定可能存在问题的服役人员以及寻找防止自杀的方法这两方面遇到的困难。,"Earlier this month, the Navy reported that three crew members serving on the USS George H.W. Bush took their own lives within a week. This highlights the difficulties in identifying potentially troubled service members and finding ways to prevent suicide.","Earlier this month, the Navy reports that three crew members serving on the USS George H.W. Bush takes their own lives within a week. This highlight the difficulty in identifying potentially troubled service members and finds ways to prevent suicide."
44,44,该声明是在星期四发出的，这一周恰逢“告密者控告”在华盛顿引起轩然大波，“控告”指称特朗普在即将到来的 2020 年选举中滥用官方权力“寻求乌克兰总统沃洛德米尔·泽伦斯基的干预”，而白宫采取措施掩盖了此事。白宫在星期三发布的七月电话会谈文字记录显示，特朗普反复敦促泽伦斯基调查前副总统乔·拜登和他的儿子亨特。,"The statement was issued on Thursday, a week coinciding with the whistleblower complaint causing a stir in Washington. The complaint alleges that Trump abused official power ""seeking Ukrainian President Volodymyr Zelensky's intervention"" in the upcoming 2020 elections, and the White House took measures to cover it up. The released transcript of the July phone call on Wednesday showed Trump repeatedly urging Zelensky to investigate former Vice President Joe Biden and his son Hunter.","The statement were issued on Thursday, a week coinciding with the whistleblower complaint cause a stir in Washington. The complaint allege that Trump abused official power ""seeks Ukrainian President Volodymyr Zelensky's intervention"" in the upcoming 2020 elections, and the White House takes measures to cover it up. The released transcript of the July phone call on Wednesday shows Trump repeatedly urge Zelensky to investigate former Vice President Joe Biden and his son Hunter."
45,45,莫罕达斯·卡拉姆昌德“圣雄”甘地生于 1869 年 10 月 2 日，一生致力于道德、非暴力、宽容和社会公正事业，为全世界留下了宝贵的遗产。他对美国两次最重大的全民运动都有着深刻的影响。,"Mahatma Gandhi, the ""saintly"" leader, was born on October 2, 1869, dedicating his life to moral values, nonviolence, tolerance, and social justice, leaving a precious legacy for the world. He had a profound impact on two significant movements in the United States.","Mahatma Gandhi, the ""saintly"" leader, was born on October 2, 1869, dedicating their life to moral values, nonviolence, tolerances, and social justice, leaves a precious legacy for the world. He had a profound impact on two significances movements in the United States."
